label,lat,lon
稚内地方気象台,44.94,142.585
網走地方気象台,44.58,142.9633333
旭川地方気象台,43.945,141.6316667
釧路地方気象台,43.33,145.585
札幌管区気象台,43.18166667,141.015
室蘭地方気象台,42.62333333,141.5466667
函館地方気象台,41.81666667,140.7533333
青森地方気象台,40.52666667,141.5216667
秋田地方気象台,39.71666667,140.0983333
盛岡地方気象台,39.06333333,141.7133333
山形地方気象台,38.75666667,140.3116667
仙台管区気象台,38.26166667,140.8966667
新潟地方気象台,38.02833333,138.24
福島地方気象台,37.75833333,140.47
金沢地方気象台,37.39,136.895
富山地方気象台,36.79166667,137.055
宇都宮地方気象台,36.73833333,139.5
前橋地方気象台,36.405,139.06
水戸地方気象台,36.38,140.4666667
岐阜地方気象台,36.155,137.2533333
気象庁,36.155,137.2533333
福井地方気象台,36.055,136.2216667
熊谷地方気象台,35.99,139.0733333
銚子地方気象台,35.73833333,140.8566667
甲府地方気象台,35.66666667,138.5533333
神戸地方気象台,35.535,134.8216667
長野地方気象台,35.52333333,137.8216667
京都地方気象台,35.45,135.3166667
横浜地方気象台,35.43833333,139.6516667
鳥取地方気象台,35.43333333,133.3383333
彦根地方気象台,35.275,136.2433333
名古屋地方気象台,35.16666667,136.965
岡山地方気象台,35.06333333,134.0083333
静岡地方気象台,35.045,139.0916667
松江地方気象台,34.89666667,132.07
大阪管区気象台,34.68166667,135.5183333
奈良地方気象台,34.67333333,135.8366667
広島地方気象台,34.44666667,133.2466667
下関地方気象台,34.415,131.3916667
高松地方気象台,34.275,133.7516667
和歌山地方気象台,34.22833333,135.1633333
津地方気象台,34.06833333,136.1933333
徳島地方気象台,34.06666667,134.5733333
松山地方気象台,33.84333333,132.7766667
福岡管区気象台,33.58166667,130.375
長崎地方気象台,33.36,129.55
大分地方気象台,33.32166667,130.9283333
佐賀地方気象台,33.265,130.305
高知地方気象台,32.72166667,133.01
熊本地方気象台,32.21666667,130.755
宮崎地方気象台,31.57833333,131.4066667
鹿児島地方気象台,31.27166667,130.2916667
沖縄気象台,26.59333333,127.965
南大東島地方気象台,25.82833333,131.2266667
宮古島地方気象台,24.79333333,125.2783333
石垣島地方気象台,24.46666667,123.01
